DTA-mean,DTA-se,DTA-lower,DTA-upper,CADRL-mean,CADRL-se,CADRL-lower,CADRL-upper,NRS-mean,NRS-se,NRS-lower,NRS-upper
21.4675,1.03690109889463,20.4305989011054,22.5044010988946,21.80125,1.09501308021107,20.7062369197889,22.8962630802111,21.86375,1.08731072746274,20.7764392725373,22.9510607274627
21.46375,1.03157856718612,20.4321714328139,22.4953285671861,21.81,1.08995858738863,20.7200414126114,22.8999585873886,21.895,1.07823833945314,20.8167616605469,22.9732383394531
21.45,1.0286148993239,20.4213851006761,22.4786148993239,21.7875,1.08893902237198,20.698560977628,22.876439022372,21.9125,1.06717761200072,20.8453223879993,22.9796776120007
21.45,1.03344589440699,20.416554105593,22.483445894407,21.8175,1.08648451949906,20.7310154805009,22.9039845194991,21.9425,1.0648914263905,20.8776085736095,23.0073914263905
21.40375,1.04381952529587,20.3599304747041,22.4475695252959,21.81,1.08973556935208,20.7202644306479,22.8997355693521,21.96625,1.0594171779542,20.9068328220458,23.0256671779542
21.38875,1.04901317714952,20.3397368228505,22.4377631771495,21.74625,1.10750290004637,20.6387470999536,22.8537529000464,21.94625,1.068647331001,20.877602668999,23.014897331001
21.36875,1.0503558424807,20.3183941575193,22.4191058424807,21.72375,1.1127066755589,20.6110433244411,22.8364566755589,21.93,1.06963649069309,20.8603635093069,22.9996364906931
21.355,1.05791527175962,20.2970847282404,22.4129152717596,21.6925,1.11879647637788,20.5737035236221,22.8112964763779,21.89375,1.07977661334288,20.8139733866571,22.9735266133429
21.35875,1.05516759134904,20.303582408651,22.413917591349,21.71,1.11330619976916,20.5966938002308,22.8233061997692,21.94125,1.05993161794628,20.8813183820537,23.0011816179463
21.3625,1.05313355172921,20.3093664482708,22.4156335517292,21.71625,1.11261399228723,20.6036360077128,22.8288639922872,21.9725,1.05749441816231,20.9150055818377,23.0299944181623
21.38125,1.05973865030225,20.3215113496977,22.4409886503023,21.7,1.12068927203059,20.5793107279694,22.8206892720306,22.00875,1.05362807387406,20.9551219261259,23.0623780738741
21.3775,1.05283149965541,20.3246685003446,22.4303314996554,21.70625,1.12012872834133,20.5861212716587,22.8263787283413,22.05375,1.05027451768573,21.0034754823143,23.1040245176857
21.40125,1.04897014640816,20.3522798535918,22.4502201464082,21.71375,1.12009183961257,20.5936581603874,22.8338418396126,22.11375,1.04028817121347,21.0734618287865,23.1540381712135
21.4275,1.05434912781931,20.3731508721807,22.4818491278193,21.725,1.12177934055183,20.6032206594482,22.8467793405518,22.1275,1.04738231903266,21.0801176809673,23.1748823190327
21.4575,1.04205359480424,20.4154464051958,22.4995535948042,21.7025,1.12540548248176,20.5770945175182,22.8279054824818,22.18,1.03819454663693,21.1418054533631,23.2181945466369
21.43125,1.05188529489251,20.3793647051075,22.4831352948925,21.7025,1.12806342168042,20.5744365783196,22.8305634216804,22.21375,1.0397907274757,21.1739592725243,23.2535407274757
21.36,1.06697065980695,20.293029340193,22.426970659807,21.64375,1.14246360566881,20.5012863943312,22.7862136056688,22.20125,1.04596023466478,21.1552897653352,23.2472102346648
21.3375,1.08341506101976,20.2540849389802,22.4209150610198,21.60375,1.15360402952852,20.4501459704715,22.7573540295285,22.165,1.06551500328349,21.0994849967165,23.2305150032835
21.4575,1.05267714265423,20.4048228573458,22.5101771426542,21.66375,1.12648120083441,20.5372687991656,22.7902312008344,22.23375,1.03572480324435,21.1980251967557,23.2694748032444
21.34125,1.08137491250208,20.2598750874979,22.4226249125021,21.64625,1.13360145419122,20.5126485458088,22.7798514541912,22.24,1.04595417628541,21.1940458237146,23.2859541762854
21.335,1.08639439329268,20.2486056067073,22.4213943932927,21.62625,1.14370172940034,20.4825482705997,22.7699517294003,22.26375,1.06212485207196,21.201625147928,23.325874852072
21.3825,1.06958942018785,20.3129105798121,22.4520894201878,21.66625,1.13311433239448,20.5331356676055,22.7993643323945,22.235,1.07580041261276,21.1591995873872,23.3108004126128
21.395,1.07019630857562,20.3248036914244,22.4651963085756,21.6725,1.13551536268291,20.5369846373171,22.8080153626829,22.2575,1.08072313753338,21.1767768624666,23.3382231375334
21.4225,1.06784895415451,20.3546510458455,22.4903489541545,21.7,1.1275742153451,20.5724257846549,22.8275742153451,22.3075,1.06784797867279,21.2396520213272,23.3753479786728
21.43875,1.06701890343038,20.3717310965696,22.5057689034304,21.6775,1.13200718980834,20.5454928101917,22.8095071898083,22.315,1.06974782854029,21.2452521714597,23.3847478285403
21.4275,1.0677546534668,20.3597453465332,22.4952546534668,21.6525,1.13731042376301,20.515189576237,22.789810423763,22.345,1.06204761611186,21.2829523838881,23.4070476161119
21.43375,1.05781491567917,20.3759350843208,22.4915649156792,21.69875,1.12177539406167,20.5769746059383,22.8205253940617,22.4125,1.05124430240232,21.3612556975977,23.4637443024023
21.435,1.0582673863968,20.3767326136032,22.4932673863968,21.70875,1.12251430639238,20.5862356936076,22.8312643063924,22.49875,1.0369383519927,21.4618116480073,23.5356883519927
21.505,1.03442180575538,20.4705781942446,22.5394218057554,21.74375,1.11435433784671,20.6293956621533,22.8581043378467,22.55625,1.041168630941,21.515081369059,23.597418630941
21.51,1.03410723707833,20.4758927629217,22.5441072370783,21.775,1.10434904154237,20.6706509584576,22.8793490415424,22.6075,1.02500033875333,21.5824996612467,23.6325003387533
21.49375,1.0331791719682,20.4605708280318,22.5269291719682,21.7575,1.10522779200589,20.6522722079941,22.8627277920059,22.56875,1.03775306485267,21.5309969351473,23.6065030648527
