,AC-mean,AC-10_moving_average,AC-se,AC-upper,AC-lower,DTA-mean,DTA-10_moving_average,DTA-se,DTA-upper,DTA-lower,SRS-mean,SRS-10_moving_average,SRS-se,SRS-upper,SRS-lower,NRS-mean,NRS-10_moving,NRS-se,NRS-upper,NRS-lower,SARSA-RS-mean,SARSA-RS-se,SARSA-RS-10_moving,SARSA-RS-upper,SARSA-RS-lower,SPRS-mean,SPRS-se,SPRS-10_moving,SPRS-upper,SPRS-lower
14,5147.94,5061.721,409.5655188,5471.286519,4652.155481,3264.84,3402.104,353.2249096,3755.32891,3048.87909,3144.058,3156.7448,109.5874247,3266.332225,3047.157375,4896.27451,4963.355882,395.3944466,5358.750329,4567.961436,4993.52,429.7883876,4733.483,5163.271388,4303.694612,4972.976,253.616869213576,4598.3504,4851.96726921358,4344.73353078642
15,5115.42,5075.547,408.1553827,5483.702383,4667.391617,3381.66,3432.814,377.1150419,3809.929042,3055.698958,3102.572,3148.5032,109.785961,3258.289161,3038.717239,5172.107843,5019.126471,417.3637543,5436.490225,4601.762716,5034.84,425.8049804,4676.188,5101.99298,4250.38302,4661.36,254.867259995473,4528.8492,4783.71645999547,4273.98194000453
16,5138.29,5080.414,403.8405307,5484.254531,4676.573469,3011.84,3421.338,362.7553436,3784.093344,3058.582656,3126.974,3140.9694,110.6978271,3251.667227,3030.271573,4877.588235,5045.070588,413.8029946,5458.873583,4631.267594,5296.99,421.0996268,4607.099,5028.198627,4185.999373,4769.592,254.45848913751,4505.7296,4760.18808913751,4251.27111086249
17,4721.02,5078.582,422.5812611,5501.163261,4656.000739,3386.21,3432.52,379.3653596,3811.88536,3053.15464,3098.673,3124.2107,112.0079501,3236.21865,3012.20275,4977.480392,5080.946078,414.0942536,5495.040332,4666.851825,4254.91,409.8288631,4563.724,4973.552863,4153.895137,4504.928,253.380599753146,4512.3656,4765.74619975315,4258.98500024685
18,5103.86,5073.792,396.1345234,5469.926523,4677.657477,3329.42,3468.143,373.4950008,3841.638001,3094.647999,3190.202,3120.2351,111.551633,3231.786733,3008.683467,5010.960784,5057.355882,407.5563058,5464.912188,4649.799577,4740.44,408.4724581,4577.629,4986.101458,4169.156542,4521.9,253.233727248169,4467.8664,4721.10012724817,4214.63267275183
19,4816.43,5030.21,413.2971041,5443.507104,4616.912896,3863.44,3482.427,391.6096524,3874.036652,3090.817348,3190.439,3117.2033,113.4596194,3230.662919,3003.743681,5025.058824,5102.886275,416.2585267,5519.144801,4686.627748,4460.4,418.6378528,4574.847,4993.484853,4156.209147,4225.444,250.346034367345,4468.5256,4718.87163436735,4218.17956563265
20,5255.07,5093.082,417.3252727,5510.407273,4675.756727,3445.81,3444.411,374.4031925,3818.814193,3070.007808,3163.7,3117.3852,111.5063554,3228.891555,3005.878845,4628.509804,5117.690196,409.8656401,5527.555836,4707.824556,4908.8,421.7710336,4600.154,5021.925034,4178.382966,4618.104,257.075747196689,4471.4964,4728.57214719669,4214.42065280331
21,5159.16,5037.223,412.0582885,5449.281289,4625.164712,3267.37,3439.838,387.294163,3827.132163,3052.543837,3210.264,3118.7602,111.8527972,3230.612997,3006.907403,4672.803922,5114.253922,424.5243445,5538.778266,4689.729577,4631.42,411.176799,4567.985,4979.161799,4156.808201,4707.728,256.121268449272,4455.4916,4711.61286844927,4199.37033155073
22,5301.99,5016.778,422.135823,5438.913823,4594.642177,3474.89,3454.165,381.6355911,3835.800591,3072.529409,3137.963,3113.9729,112.3076669,3226.280567,3001.665233,4975.892157,5152.326471,409.1360037,5561.462474,4743.190467,4451.2,410.9002507,4560.774,4971.674251,4149.873749,4404.028,255.637574853275,4447.9396,4703.57717485328,4192.30202514672
23,4858.03,4970.852,410.3480987,5381.200099,4560.503901,3595.56,3427.065,397.8844441,3824.949444,3029.180556,3202.603,3108.566,112.5964666,3221.162467,2995.969533,5396.882353,5165.536275,414.9297118,5580.465986,4750.606563,4562.31,402.0141532,4571.617,4973.631153,4169.602847,4597.444,256.872868282067,4481.3064,4738.17926828207,4224.43353171794
24,5286.2,4952.075,412.5572275,5364.632228,4539.517773,3571.94,3349.143,381.2364492,3730.379449,2967.906551,3061.642,3094.6574,110.3945082,3205.051908,2984.262892,5453.980392,5119.405882,403.6669617,5523.072844,4715.738921,4420.57,417.8050472,4578.798,4996.603047,4160.992953,4277.964,261.478210019145,4458.2136,4719.69181001915,4196.73538998086
25,5164.09,4920.393,419.5891801,5339.98218,4500.80382,3266.9,3305.511,373.2672695,3678.77827,2932.243731,3027.234,3092.1518,111.0447469,3203.196547,2981.107053,5431.54902,5066.773529,422.2922232,5489.065753,4644.481306,4343.95,411.267825,4549.833,4961.100825,4138.565175,4430.164,257.405392026694,4470.4776,4727.8829920267,4213.07220797331
26,5119.97,4889.874,426.2521992,5316.126199,4463.621801,3123.66,3314.994,378.5103196,3693.50432,2936.48368,2959.387,3100.8081,110.0508511,3210.858951,2990.757249,5236.343137,5041.341176,430.7369876,5472.078164,4610.604189,4863.24,423.593063,4534.75,4958.343063,4111.156937,4835.952,263.218216373381,4472.6864,4735.90461637338,4209.46818362662
27,4673.12,4842.08,408.024393,5250.104393,4434.055607,3742.44,3313.099,401.5985075,3714.697508,2911.500493,3058.917,3106.9642,113.7129222,3220.677122,2993.251278,4741.578431,4992.00098,412.2806593,5404.28164,4579.720321,4393.96,429.3032918,4486.9,4916.203292,4057.596708,4059.936,256.263387973421,4415.004,4671.26738797342,4158.74061202658
