,AC-mean,AC-10_moving_average,AC-se,AC-upper,AC-lower,HRS-mean,HRS-10_moving_average,HRS-se,HRS-upper,HRS-lower,RRS-mean,RRS-10_moving_average,RRS-se,RRS-upper,RRS-lower,NRS-mean,NRS-10_moving,NRS-se,NRS-upper,NRS-lower,SARSA-RS-mean,SARSA-RS-se,SARSA-RS-10_moving,SARSA-RS-upper,SARSA-RS-lower
51,3853.37,4204.339,392.6625028,4597.001503,3811.676497,3094.965,3035.7217,112.83227320131,3148.55397320131,2922.88942679869,3170.8432160804,3192.67628140703,116.386906218589,3309.06318762562,3076.28937518845,3757.470588,3983.138235,381.2936343,4364.43187,3601.844601,4109.33,411.963412709187,4308.497,4720.46041270919,3896.53358729081
52,4378.61,4229.819,410.3297167,4640.148717,3819.489283,2980.89,3035.5481,112.884714748721,3148.43281474872,2922.66338525128,3317.76984924623,3193.2,119.22729006647,3312.42729006647,3073.97270993353,4272.068627,3974.776471,391.0280986,4365.804569,3583.748372,4119.12,417.585892070122,4306.034,4723.61989207012,3888.44810792988
53,4300.98,4223.39,413.7688524,4637.158852,3809.621148,3025.986,3028.063,112.070170794034,3140.13317079403,2915.99282920597,3236.66030150754,3166.50834170854,117.006684912514,3283.51502662106,3049.50165679603,3894.392157,3910.139216,387.0852086,4297.224424,3523.054007,4267.58,411.363095131297,4285.377,4696.7400951313,3874.0139048687
54,4344.49,4294.385,415.4025714,4709.787571,3878.982429,3082.631,3035.0868,113.586152355113,3148.67295235511,2921.50064764489,3140.15979899498,3152.33366834171,116.686394309257,3269.02006265097,3035.64727403245,4275.382353,3943.983333,388.5441738,4332.527507,3555.43916,4746.14,420.514231155142,4271.102,4691.61623115514,3850.58776884486
55,3896.22,4299.274,397.6973848,4696.971385,3901.576615,3021.847,3034.0635,113.416684255849,3147.48018425585,2920.64681574415,3106.95477386935,3158.07768844221,114.409425501064,3272.48711394328,3043.66826294115,3967.421569,3914.944118,383.9176038,4298.861721,3531.026514,4078.6,406.342945798251,4208.948,4615.29094579825,3802.60505420175
56,4352.78,4346.525,400.2947103,4746.81971,3946.23029,3097.991,3042.6877,115.07301493799,3157.76071493799,2927.61468506201,3205.00603015075,3156.42834170854,119.222210287498,3275.65055199604,3037.20613142104,3991.823529,3942.22549,380.4348547,4322.660345,3561.790636,4437.75,410.161351269229,4212.891,4623.05235126923,3802.72964873077
57,4246.19,4314.529,417.1300523,4731.659052,3897.398948,3001.005,3051.5294,113.29584720975,3164.82524720975,2938.23355279025,3346.17386934673,3136.89165829146,120.214968268992,3257.10662656045,3016.67669002246,3817.411765,3906.586275,403.6238119,4310.210086,3502.962463,4632.98,423.84004671102,4173.316,4597.15604671102,3749.47595328898
58,4106.03,4370.563,417.7809003,4788.3439,3952.7821,3074.505,3050.408,113.053977249697,3163.4619772497,2937.3540227503,3080.9959798995,3124.14532663317,115.293871892749,3239.43919852592,3008.85145474042,3672.862745,3888.279412,395.8873071,4284.166719,3492.392105,4404.47,414.740242912356,4069.71,4484.45024291236,3654.96975708764
59,4167.54,4456.225,399.2187006,4855.443701,4057.006299,2979.969,3050.278,111.489470776567,3161.76747077657,2938.78852922343,3187.43718592965,3133.8759798995,116.879175030643,3250.75515493014,3016.99680486886,4125.911765,3900.577451,406.183874,4306.761325,3494.393577,4103.69,397.707873116689,4010.79,4408.49787311669,3613.08212688331
60,4397.18,4501.218,429.5511351,4930.769135,4071.666865,2997.428,3054.828,112.576626574152,3167.40462657415,2942.25137342585,3134.76180904523,3141.82974874372,116.252484767812,3258.08223351153,3025.57726397591,4056.637255,3882.047059,396.6312456,4278.678304,3485.415813,4185.31,411.373532861559,3936.728,4348.10153286156,3525.35446713844
61,4108.17,4499.793,399.1710385,4898.964039,4100.621962,3093.229,3061.1473,114.706236362976,3175.85353636298,2946.44106363702,3176.08040201005,3139.1216080402,115.847082750152,3254.96869079035,3023.27452529005,3673.852941,3837.435294,384.1658367,4221.601131,3453.269457,4084.7,407.704810248788,3861.656,4269.36081024879,3453.95118975121
62,4314.32,4510.584,409.5978166,4920.181817,4100.986183,2906.039,3056.126,109.701846317549,3165.82784631755,2946.42415368245,3050.85326633166,3128.39386934673,113.452628957086,3241.84649830382,3014.94124038965,3625.696078,3859.057843,392.3170533,4251.374896,3466.74079,3912.55,394.942507303278,3838.658,4233.60050730328,3443.71549269672
63,5010.93,4548.427,426.7440636,4975.171064,4121.682936,3096.224,3069.4962,114.274567624752,3183.77076762475,2955.22163237525,3094.9135678392,3132.14814070352,115.511335150869,3247.65947585439,3016.63680555265,4232.833333,3839.597059,407.9538879,4247.550947,3431.643171,4124.83,397.717317715736,3808.133,4205.85031771574,3410.41568228426
64,4393.38,4513.57,412.6897641,4926.259764,4100.880236,3072.398,3071.7975,115.111276222601,3186.9087762226,2956.6862237774,3197.6,3125.93075376884,114.772718766729,3240.70347253557,3011.15803500212,3984.990196,3818.379412,406.3874913,4224.766903,3411.99192,4124.6,412.746965100896,3757.218,4169.9649651009,3344.4710348991
65,4368.73,4481.689,412.5478925,4894.236893,4069.141108,3108.089,3078.1796,114.011788947806,3192.19138894781,2964.16781105219,3090.46130653266,3105.15065326633,116.317169977068,3221.4678232434,2988.83348328926,4240.235294,3816.859804,410.0286435,4226.888447,3406.83116,4118.03,401.091781131202,3695.927,4097.0187811312,3294.8352188688
66,4032.82,4492.577,411.8548563,4904.431856,4080.722144,3186.408,3057.3513,116.494327731165,3173.84562773117,2940.85697226884,3009.6391959799,3102.99075376884,113.915623462846,3216.90637723169,2989.075130306,3635.431373,3828.271569,375.4744692,4203.746038,3452.797099,4042,405.425805789419,3639.215,4044.64080578942,3233.78919421058
67,4806.53,4582.751,430.2097478,5012.960748,4152.541252,2989.791,3030.6624,112.848501883361,3143.51090188336,2917.81389811664,3218.71055276382,3110.17386934673,117.719297804429,3227.89316715116,2992.4545715423,3634.343137,3855.221569,370.5578241,4225.779393,3484.663745,3596.92,379.323544927019,3595.323,3974.64654492702,3215.99945507298
68,4962.65,4563.882,423.7363592,4987.618359,4140.145641,3073.205,3036.0742,113.867820076504,3149.9420200765,2922.2063799235,3178.30251256281,3095.85768844221,115.499559841024,3211.35724828324,2980.35812860119,3795.843137,3882.094118,398.9908061,4281.084924,3483.103312,3815.27,399.546696358511,3632.021,4031.56769635851,3232.47430364149
