DDPG-mean,DDPG-mv,Ddpg-se,DDPG-lower,DDPG-upper,HRS-mean,HRS-mv,HRS-se,HRS-lower,HRS-upper,NRS-mean,NRS-mv,NRS-se,NRS-lower,NRS-upper,RRS-mean,RRS-mv,RRS-se,RRS-lower,RRS-upper
0.06,0.07,0.021908902300207,0.048091097699793,0.091908902300207,0.07,0.076,0.024698178070457,0.051301821929543,0.100698178070457,0.04,0.042,0.021908902300207,0.020091097699793,0.063908902300207,0,0.013333333333333,0,0.013333333333333,0.013333333333333
0.06,0.078,0.021908902300207,0.056091097699793,0.099908902300207,0.07,0.079,0.024698178070457,0.054301821929543,0.103698178070457,0.04,0.044,0.021908902300207,0.022091097699793,0.065908902300207,0,0.016666666666667,0,0.016666666666667,0.016666666666667
0.06,0.082,0.021908902300207,0.060091097699793,0.103908902300207,0.07,0.085,0.024698178070457,0.060301821929543,0.109698178070457,0.04,0.046,0.021908902300207,0.024091097699793,0.067908902300207,0,0.023333333333333,0,0.023333333333333,0.023333333333333
0.06,0.09,0.021908902300207,0.068091097699793,0.111908902300207,0.07,0.09,0.024698178070457,0.065301821929543,0.114698178070457,0.04,0.048,0.021908902300207,0.026091097699793,0.069908902300207,0,0.03,0,0.03,0.03
0.06,0.102,0.021908902300207,0.080091097699793,0.123908902300207,0.07,0.097,0.024698178070457,0.072301821929543,0.121698178070457,0.04,0.05,0.021908902300207,0.028091097699793,0.071908902300207,0,0.04,0,0.04,0.04
0.06,0.116,0.021908902300207,0.094091097699793,0.137908902300207,0.07,0.107,0.024698178070457,0.082301821929543,0.131698178070457,0.04,0.054,0.021908902300207,0.032091097699793,0.075908902300207,0,0.046666666666667,0,0.046666666666667,0.046666666666667
0.08,0.126,0.033466401061363,0.092533598938637,0.159466401061363,0.07,0.118,0.024698178070457,0.093301821929543,0.142698178070457,0.04,0.058,0.021908902300207,0.036091097699793,0.079908902300207,0,0.056666666666667,0,0.056666666666667,0.056666666666667
0.08,0.138,0.033466401061363,0.104533598938637,0.171466401061363,0.09,0.128,0.033015148038438,0.094984851961562,0.161015148038438,0.04,0.062,0.021908902300207,0.040091097699793,0.083908902300207,0.033333333333333,0.066666666666667,0.027216552697591,0.039450113969076,0.093883219364258
0.08,0.146,0.033466401061363,0.112533598938637,0.179466401061363,0.1,0.135,0.031622776601684,0.103377223398316,0.166622776601684,0.04,0.068,0.021908902300207,0.046091097699793,0.089908902300207,0.033333333333333,0.073333333333333,0.027216552697591,0.046116780635743,0.100549886030924
0.1,0.16,0.028284271247462,0.131715728752538,0.188284271247462,0.08,0.144,0.023664319132399,0.120335680867602,0.167664319132399,0.06,0.076,0.035777087639997,0.040222912360003,0.111777087639997,0.066666666666667,0.08,0.054433105395182,0.025566894604818,0.134433105395182
0.14,0.172,0.045607017003966,0.126392982996034,0.217607017003966,0.1,0.157,0.03741657386774,0.119583426132261,0.194416573867739,0.06,0.082,0.035777087639997,0.046222912360003,0.117777087639997,0.033333333333333,0.086666666666667,0.027216552697591,0.059450113969076,0.113883219364258
0.1,0.186,0.048989794855664,0.137010205144336,0.234989794855664,0.13,0.166,0.049091750834534,0.116908249165466,0.215091750834534,0.06,0.088,0.035777087639997,0.052222912360003,0.123777087639997,0.066666666666667,0.1,0.054433105395182,0.045566894604818,0.154433105395182
0.14,0.21,0.045607017003966,0.164392982996035,0.255607017003966,0.12,0.174,0.034058772731853,0.139941227268147,0.208058772731853,0.06,0.094,0.035777087639997,0.058222912360003,0.129777087639997,0.066666666666667,0.11,0.054433105395182,0.055566894604818,0.164433105395182
0.18,0.222,0.043817804600413,0.178182195399587,0.265817804600413,0.14,0.185,0.037947331922021,0.147052668077979,0.222947331922021,0.06,0.106,0.035777087639997,0.070222912360003,0.141777087639997,0.1,0.123333333333333,0.047140452079103,0.07619288125423,0.170473785412437
0.2,0.236,0.063245553203368,0.172754446796632,0.299245553203368,0.17,0.2,0.04483302354292,0.15516697645708,0.24483302354292,0.08,0.116,0.052153619241621,0.063846380758379,0.168153619241621,0.066666666666667,0.126666666666667,0.054433105395182,0.072233561271485,0.181099772061848
0.16,0.24,0.045607017003966,0.194392982996035,0.285607017003966,0.18,0.212,0.034058772731853,0.177941227268147,0.246058772731853,0.08,0.124,0.052153619241621,0.071846380758379,0.176153619241621,0.1,0.143333333333333,0.047140452079103,0.09619288125423,0.190473785412437
0.2,0.254,0.048989794855664,0.205010205144336,0.302989794855664,0.17,0.224,0.037549966711037,0.186450033288963,0.261549966711037,0.08,0.13,0.043817804600413,0.086182195399587,0.173817804600413,0.1,0.15,8.01234452659818E-18,0.15,0.15
0.16,0.264,0.045607017003966,0.218392982996035,0.309607017003966,0.16,0.238,0.040496913462633,0.197503086537367,0.278496913462633,0.1,0.136,0.056568542494924,0.079431457505076,0.192568542494924,0.1,0.166666666666667,0.047140452079103,0.119526214587564,0.21380711874577
0.22,0.276,0.06572670690062,0.21027329309938,0.34172670690062,0.19,0.254,0.038600518131238,0.215399481868762,0.292600518131238,0.12,0.14,0.06572670690062,0.07427329309938,0.20572670690062,0.1,0.18,0.047140452079103,0.132859547920897,0.227140452079103
0.22,0.286,0.052153619241621,0.233846380758379,0.338153619241621,0.21,0.272,0.043474130238568,0.228525869761432,0.315474130238568,0.12,0.152,0.052153619241621,0.099846380758379,0.204153619241621,0.133333333333333,0.193333333333333,0.07200822998231,0.121325103351024,0.265341563315643
0.28,0.296,0.076941536246685,0.219058463753315,0.372941536246685,0.19,0.285,0.041109609582189,0.243890390417811,0.326109609582189,0.12,0.162,0.071554175279993,0.090445824720007,0.233554175279993,0.166666666666667,0.206666666666667,0.054433105395182,0.152233561271485,0.261099772061848
