DDPG-mean,DDPG-mv,Ddpg-se,DDPG-lower,DDPG-upper,HRS-mean,HRS-mv,HRS-se,HRS-lower,HRS-upper,NRS-mean,NRS-mv,NRS-se,NRS-lower,NRS-upper,RRS-mean,RRS-mv,RRS-se,RRS-lower,RRS-upper
0.06,0.07,0.021908902300207,0.048091097699793,0.091908902300207,0.06,0.06,0.035777087639997,0.024222912360003,0.095777087639997,0.04,0.042,0.021908902300207,0.020091097699793,0.063908902300207,0.04,0.04,0.0219089023,0.0180910977,0.0619089023
0.06,0.078,0.021908902300207,0.056091097699793,0.099908902300207,0.06,0.062,0.035777087639997,0.026222912360003,0.097777087639997,0.04,0.044,0.021908902300207,0.022091097699793,0.065908902300207,0.04,0.04,0.0219089023,0.0180910977,0.0619089023
0.06,0.082,0.021908902300207,0.060091097699793,0.103908902300207,0.06,0.064,0.035777087639997,0.028222912360003,0.099777087639997,0.04,0.046,0.021908902300207,0.024091097699793,0.067908902300207,0.04,0.04,0.0219089023,0.0180910977,0.0619089023
0.06,0.09,0.021908902300207,0.068091097699793,0.111908902300207,0.06,0.068,0.035777087639997,0.032222912360003,0.103777087639997,0.04,0.048,0.021908902300207,0.026091097699793,0.069908902300207,0.04,0.042,0.0219089023,0.0200910977,0.0639089023
0.06,0.102,0.021908902300207,0.080091097699793,0.123908902300207,0.06,0.068,0.035777087639997,0.032222912360003,0.103777087639997,0.04,0.05,0.021908902300207,0.028091097699793,0.071908902300207,0.04,0.042,0.0219089023,0.0200910977,0.0639089023
0.06,0.116,0.021908902300207,0.094091097699793,0.137908902300207,0.06,0.076,0.035777087639997,0.040222912360003,0.111777087639997,0.04,0.054,0.021908902300207,0.032091097699793,0.075908902300207,0.04,0.052,0.0219089023,0.0300910977,0.0739089023
0.08,0.126,0.033466401061363,0.092533598938637,0.159466401061363,0.06,0.082,0.035777087639997,0.046222912360003,0.117777087639997,0.04,0.058,0.021908902300207,0.036091097699793,0.079908902300207,0.04,0.058,0.0219089023,0.0360910977,0.0799089023
0.08,0.138,0.033466401061363,0.104533598938637,0.171466401061363,0.06,0.088,0.035777087639997,0.052222912360003,0.123777087639997,0.04,0.062,0.021908902300207,0.040091097699793,0.083908902300207,0.04,0.062,0.0219089023,0.0400910977,0.0839089023
0.08,0.146,0.033466401061363,0.112533598938637,0.179466401061363,0.06,0.096,0.035777087639997,0.060222912360003,0.131777087639997,0.04,0.068,0.021908902300207,0.046091097699793,0.089908902300207,0.04,0.066,0.0219089023,0.0440910977,0.0879089023
0.1,0.16,0.028284271247462,0.131715728752538,0.188284271247462,0.06,0.106,0.035777087639997,0.070222912360003,0.141777087639997,0.06,0.076,0.035777087639997,0.040222912360003,0.111777087639997,0.04,0.074,0.0219089023,0.0520910977,0.0959089023
0.14,0.172,0.045607017003966,0.126392982996034,0.217607017003966,0.08,0.116,0.052153619241621,0.063846380758379,0.168153619241621,0.06,0.082,0.035777087639997,0.046222912360003,0.117777087639997,0.04,0.078,0.0219089023,0.0560910977,0.0999089023
0.1,0.186,0.048989794855664,0.137010205144336,0.234989794855664,0.08,0.128,0.043817804600413,0.084182195399587,0.171817804600413,0.06,0.088,0.035777087639997,0.052222912360003,0.123777087639997,0.04,0.086,0.0219089023,0.0640910977,0.1079089023
