DTA-mean,DTA-se,DTA-lower,DTA-upper,CADRL-mean,CADRL-se,CADRL-lower,CADRL-upper,NRS-mean,NRS-se,NRS-lower,NRS-upper
0.0780855,0.023783777097589,0.054301722902412,0.101869277097589,0.0738215,0.024948181419472,0.048873318580528,0.098769681419472,0.0728115,0.024784097881617,0.048027402118383,0.097595597881617
0.07838,0.023634918200268,0.054745081799733,0.102014918200267,0.073604,0.024856648270075,0.048747351729925,0.098460648270075,0.0723485,0.024649261010446,0.047699238989554,0.096997761010446
0.078502,0.023636256086313,0.054865743913687,0.102138256086313,0.0739225,0.02486765635039,0.04905484364961,0.09879015635039,0.0720445,0.024483357413762,0.047561142586238,0.096527857413762
0.078568,0.023733218342418,0.054834781657582,0.102301218342418,0.073603,0.024864973146086,0.048738026853915,0.098467973146086,0.071776,0.024501811007896,0.047274188992104,0.096277811007896
0.079208,0.023873566544519,0.055334433455482,0.103081566544519,0.0737695,0.024931671195155,0.048837828804845,0.098701171195155,0.0711995,0.024362528826162,0.046836971173838,0.095562028826162
0.0793005,0.02398302310953,0.055317476890471,0.103283523109529,0.074768,0.0252366753203,0.0495313246797,0.1000046753203,0.0713135,0.02448519660541,0.046828303394591,0.09579869660541
0.079694,0.024027541891199,0.055666458108801,0.103721541891199,0.07515,0.025340837232946,0.049809162767054,0.100490837232946,0.0718065,0.02456455367496,0.04724194632504,0.09637105367496
0.0793495,0.024217602545004,0.055131897454996,0.103567102545004,0.075491,0.025383683241187,0.050107316758814,0.100874683241186,0.0723975,0.02471802116147,0.04767947883853,0.09711552116147
0.0792165,0.02415011213512,0.05506638786488,0.10336661213512,0.075115,0.02526699785403,0.04984800214597,0.10038199785403,0.071525,0.0243809956045,0.0471440043955,0.0959059956045
0.0791605,0.024119303327994,0.055041196672006,0.103279803327994,0.075078,0.025270267093959,0.049807732906042,0.100348267093958,0.0708405,0.024297513103768,0.046542986896232,0.095138013103768
0.078621,0.024221237797529,0.054399762202471,0.102842237797529,0.075364,0.025391785699316,0.049972214300684,0.100755785699316,0.069767,0.02410570957263,0.04566129042737,0.09387270957263
0.078378,0.02381395647281,0.05456404352719,0.10219195647281,0.074989,0.025291753396886,0.049697246603114,0.100280753396886,0.0689295,0.024012105574874,0.044917394425126,0.092941605574874
0.078313,0.023739500301303,0.054573499698697,0.102052500301303,0.074866,0.02528575951664,0.04958024048336,0.10015175951664,0.0678565,0.023837124815552,0.044019375184448,0.091693624815552
0.0777245,0.023934764481932,0.053789735518068,0.101659264481932,0.0747945,0.025320386883234,0.049474113116766,0.100114886883234,0.067661,0.023963862293045,0.043697137706956,0.091624862293045
0.076988,0.023639947161062,0.053348052838939,0.100627947161061,0.075075,0.025379675442282,0.049695324557718,0.100454675442282,0.066728,0.023757292379862,0.042970707620139,0.090485292379862
0.077411,0.023754396035261,0.05365660396474,0.101165396035261,0.0750955,0.025419521713417,0.049675978286583,0.100515021713417,0.066006,0.023751380846408,0.042254619153592,0.089757380846408
0.078627,0.024037061976133,0.054589938023867,0.102664061976133,0.076169,0.025688091899642,0.050480908100358,0.101857091899642,0.065806,0.023754500904507,0.042051499095493,0.089560500904507
0.078816,0.024440241119924,0.054375758880077,0.103256241119923,0.076897,0.025910578258053,0.050986421741948,0.102807578258053,0.0663175,0.024121025996812,0.042196474003188,0.090438525996812
0.076161,0.023895851148497,0.052265148851503,0.100056851148497,0.0757485,0.025412363920497,0.050336136079503,0.101160863920497,0.0650595,0.023596585857681,0.04146291414232,0.088656085857681
0.0785475,0.024387730592907,0.054159769407093,0.102935230592907,0.0761505,0.025565923820695,0.050584576179306,0.101716423820695,0.064783,0.023767382273004,0.041015617726996,0.088550382273004
0.078424,0.024435723641605,0.053988276358395,0.102859723641605,0.0761025,0.025626341138346,0.050476158861654,0.101728841138346,0.0639315,0.023955652696992,0.039975847303008,0.087887152696992
0.077492,0.02413369913627,0.05335830086373,0.10162569913627,0.075582,0.025481246635734,0.050100753364266,0.101063246635734,0.0641935,0.024201069065574,0.039992430934426,0.088394569065574
0.077362,0.024138029909023,0.053223970090977,0.101500029909023,0.075594,0.025537137725717,0.050056862274283,0.101131137725717,0.063383,0.024191335825043,0.039191664174957,0.087574335825043
0.076528,0.024144987577365,0.052383012422635,0.100672987577365,0.0747765,0.025304010058245,0.049472489941755,0.100080510058245,0.0621965,0.023973707438799,0.038222792561201,0.086170207438799
0.076307,0.024148840404642,0.052158159595358,0.100455840404642,0.0750805,0.025375940250232,0.049704559749768,0.100456440250232,0.0621115,0.023990391121007,0.038121108878993,0.086101891121007
0.0764005,0.024282117350589,0.052118382649411,0.100682617350589,0.075551,0.025487853564656,0.050063146435344,0.101038853564656,0.061687,0.02386164841563,0.037825351584371,0.08554864841563
0.076857,0.024057266472131,0.052799733527869,0.100914266472131,0.074778,0.025218269250684,0.049559730749316,0.099996269250684,0.0601375,0.02367114610484,0.03646635389516,0.08380864610484
0.0771295,0.024064664903478,0.053064835096522,0.101194164903478,0.0747345,0.025255263218783,0.049479236781217,0.099989763218783,0.058565,0.023487305460137,0.035077694539863,0.082052305460137
0.07594,0.023589412396714,0.052350587603287,0.099529412396714,0.0742815,0.025126816065378,0.049154683934622,0.099408316065378,0.057598,0.023597767834644,0.034000232165356,0.081195767834644
0.0758885,0.023582781242654,0.052305718757346,0.099471281242654,0.0735285,0.024883989531982,0.048644510468018,0.098412489531982,0.0565765,0.023200677373373,0.033375822626627,0.079777177373373
