HRS-mean,HRS-se,HRS-upper,HRS-lower,RRS-mean,RRS-se,RRS-upper,RRS-lower,SARSA-mean,SARSA-se,SARSA-upper,SARSA-lower,NRS-mean,NRS-se,NRS-upper,NRS-lower,SARSA-RS-mean,SARSA-RS-se,SARSA-RS-upper,SARSA-RS-lower,HRS-init-mean,HRS-init-se,HRS-init-upper,HRS-init-lower,RRS-init-mean,RRS-init-se,RRS-init-upper,RRS-init-lower
630.567999999997,3.0210483231649,633.589048323162,627.546951676832,733.238599999999,2.76900450082635,736.007604500825,730.469595499172,732.87,29.5618736677407,762.431873667741,703.308126332259,732.869999999999,9.30608060550927,742.176080605508,723.56391939449,738.401999999999,9.18291055397168,747.584910553971,729.219089446027,688.074000000001,8.60840363465466,696.682403634655,679.465596365346,699.354000000001,8.30026644795857,707.654266447959,691.053733552042
643.108000000001,3.22843778856824,646.336437788569,639.879562211433,728.627199999994,2.93950415384707,731.566704153841,725.687695846147,778.189999999999,26.5753120604654,804.765312060464,751.614687939534,846.862999999999,8.19634933207308,855.059349332072,838.666650667926,717.213999999998,9.05276978857008,726.266769788568,708.161230211428,724.128,9.07144248092244,733.199442480923,715.056557519078,682.739000000001,8.95941069038125,691.698410690382,673.779589309619
624.388799999995,3.03672850539164,627.425528505387,621.352071494603,617.059199999996,3.05127891216723,620.110478912164,614.007921087829,657.709999999999,30.3143173661182,688.024317366117,627.395682633881,749.562,10.7694044509539,760.331404450954,738.792595549046,535.225999999999,9.31939107313214,544.545391073131,525.906608926867,643.837,9.6436650038098,653.48066500381,634.19333499619,649.447999999997,9.42088745376038,658.868887453758,640.027112546237
620.015400000001,3.11799993403508,623.133399934036,616.897400065966,585.347599999999,3.10262501853263,588.450225018532,582.244974981466,667.129999999999,29.8002361017018,696.930236101701,637.329763898297,802.259999999999,10.5593605154145,812.819360515414,791.700639484585,483.702,8.96167790465979,492.663677904659,474.74032209534,596.096999999999,9.42103261041205,605.518032610411,586.675967389587,595.664999999998,9.64500227287929,605.310002272877,586.019997727118
615.846000000003,3.19548978779437,619.041489787797,612.650510212208,598.877699999995,3.09770019028931,601.975400190285,595.779999809706,692.749999999999,32.0083839238119,724.758383923811,660.741616076187,882.209999999999,8.21280500596886,890.422805005968,873.99719499403,363.944999999999,8.02323515031672,371.968235150316,355.921764849683,530.049,9.74109190339927,539.790091903399,520.307908096601,544.503999999999,9.62773520976094,554.13173520976,534.876264790238
564.491999999999,3.00548790870253,567.497487908701,561.486512091296,541.417999999998,3.00779516768966,544.425795167688,538.410204832309,674.03,30.1301770102113,704.160177010211,643.899822989789,865.692,8.5105953592783,874.202595359278,857.181404640722,299.378,7.72655788904817,307.104557889048,291.651442110952,472.85,9.24164062390558,482.091640623905,463.608359376094,485.583,9.43163012197562,495.014630121975,476.151369878024
555.466199999999,3.0117271283743,558.477927128374,552.454472871625,564.191599999997,3.26869650267916,567.460296502676,560.922903497318,665.219999999999,30.282079842639,695.502079842638,634.93792015736,880.791999999998,7.71445017337469,888.506450173373,873.077549826623,227.637,5.24070608136263,232.877706081363,222.396293918637,409.257,8.76013178324733,418.017131783247,400.496868216752,443.839,9.56222396758235,453.401223967583,434.276776032418
566.338799999999,2.84847946543109,569.18727946543,563.490320534568,539.084199999997,3.07275045042211,542.156950450419,536.011449549575,659.819999999999,29.8101141401792,689.630114140178,630.00988585982,873.385999999998,7.42373483112414,880.809734831122,865.962265168874,207.246,5.66996490165379,212.915964901654,201.576035098346,401.827000000001,8.88985886623972,410.716858866241,392.937141133761,406.304,8.94158103779504,415.245581037795,397.362418962204
495.412400000002,2.96372265872224,498.376122658724,492.448677341279,494.444299999999,2.80307917387945,497.247379173879,491.64122082612,632.8,33.8818624939746,666.681862493975,598.918137506025,842.691999999999,8.56139805596455,851.253398055964,834.130601944034,166.877,2.98450953561354,169.861509535614,163.892490464386,374.387,8.61780701970222,383.004807019702,365.769192980298,381.781,8.69289407771924,390.47389407772,373.088105922281
471.4196,2.70322906508524,474.122829065085,468.716370934915,481.563099999999,2.8649685000519,484.428068500051,478.698131499947,593.369999999999,29.8427990908319,623.212799090831,563.527200909167,824.228999999999,8.80253788587321,833.031537885872,815.426462114126,119.412,2.0301570859896,121.44215708599,117.381842914011,341.422,8.09817549589799,349.520175495898,333.323824504102,363.052,8.86791278560932,371.919912785609,354.184087214391
