DTA-mean,DTA-se,DTA-lower,DTA-upper,CADRL-mean,CADRL-se,CADRL-lower,CADRL-upper
20.67,1.18621377710765,19.4837862228923,21.8562137771076,20.6425,1.13473978294585,19.5077602170541,21.7772397829459
20.615,1.18370710059541,19.4312928994046,21.7987071005954,20.64,1.10630578955368,19.5336942104463,21.7463057895537
20.705,1.23849454984671,19.4665054501533,21.9434945498467,20.615,1.12772170769211,19.4872782923079,21.7427217076921
20.625,1.21128805409779,19.4137119459022,21.8362880540978,20.54,1.08852968494203,19.451470315058,21.628529684942
20.6825,1.2021634144325,19.4803365855675,21.8846634144325,20.595,1.08237730251516,19.5126226974848,21.6773773025152
20.8275,1.17862737962428,19.6488726203757,22.0061273796243,20.7525,1.06487528612509,19.6876247138749,21.8173752861251
20.7375,1.17274384457988,19.5647561554201,21.9102438445799,20.675,1.06040970855608,19.6145902914439,21.7354097085561
20.7775,1.11563742990274,19.6618625700973,21.8931374299027,20.68,1.02566746560472,19.6543325343953,21.7056674656047
20.71,1.11604351393662,19.5939564860634,21.8260435139366,20.5575,0.93494318009171,19.6225568199083,21.4924431800917
20.765,1.07207013529899,19.692929864701,21.837070135299,20.555,0.937763296360014,19.61723670364,21.49276329636
20.82,1.07292386728975,19.7470761327102,21.8929238672897,20.49,0.941320548484946,19.5486794515151,21.4313205484849
20.74,1.05849539441606,19.6815046055839,21.7984953944161,20.2575,0.927703818575735,19.3297961814243,21.1852038185757
20.5375,1.00144426954274,19.5360557304573,21.5389442695427,20.1725,0.863517515745917,19.3089824842541,21.0360175157459
20.605,0.929479020742265,19.6755209792577,21.5344790207423,20.0975,0.770079135543874,19.3274208644561,20.8675791355439
20.635,0.901867853402038,19.733132146598,21.536867853402,20.2025,0.707199582861868,19.4953004171381,20.9096995828619
20.7875,0.927808237191285,19.8596917628087,21.7153082371913,20.2725,0.757332902361966,19.515167097638,21.029832902362
20.695,0.959260783103323,19.7357392168967,21.6542607831033,20.27,0.763161598221503,19.5068384017785,21.0331615982215
20.6925,0.933881349530013,19.75861865047,21.62638134953,20.2775,0.722402675105789,19.5550973248942,20.9999026751058
20.59,0.896524539541445,19.6934754604586,21.4865245395414,20.1975,0.729805196610712,19.4676948033893,20.9273051966107
20.57,0.843973118647745,19.7260268813523,21.4139731186477,20.2025,0.6986862672187,19.5038137327813,20.9011862672187
20.445,0.877199022457276,19.5678009775427,21.3221990224573,20.1225,0.667134731519804,19.4553652684802,20.7896347315198
20.39,0.923304188769877,19.4666958112301,21.3133041887699,19.8525,0.706414803780329,19.1460851962197,20.5589148037803
20.3675,0.887029805023484,19.4804701949765,21.2545298050235,19.995,0.685025090781352,19.3099749092186,20.6800250907813
20.5125,0.918175841002147,19.5943241589979,21.4306758410021,20.1725,0.696906109171099,19.4755938908289,20.8694061091711
20.195,0.868193166870138,19.3268068331299,21.0631931668701,20.005,0.678516304151934,19.3264836958481,20.6835163041519
20.1175,0.988975163995537,19.1285248360045,21.1064751639955,19.96,0.759917758708138,19.2000822412919,20.7199177587081
20.115,1.0917045158833,19.0232954841167,21.2067045158833,19.7225,0.813435999326314,18.9090640006737,20.5359359993263
19.9375,1.15063840975347,18.7868615902465,21.0881384097535,19.6175,0.839415719414403,18.7780842805856,20.4569157194144
19.7975,1.06651740492127,18.7309825950787,20.8640174049213,19.64,0.822329009581932,18.8176709904181,20.4623290095819
19.725,1.10832785086363,18.6166721491364,20.8333278508636,19.65,0.843800924389159,18.8061990756108,20.4938009243892
19.4975,1.0387296929423,18.4587703070577,20.5362296929423,19.5425,0.817815306166374,18.7246846938336,20.3603153061664
19.4225,1.07113695436205,18.351363045638,20.493636954362,19.6225,0.868128374723463,18.7543716252765,20.4906283747235
19.395,1.05776592401155,18.3372340759885,20.4527659240115,19.5675,0.787902674827291,18.7795973251727,20.3554026748273
19.24,1.0834507949141,18.1565492050859,20.3234507949141,19.5725,0.862240903112349,18.7102590968877,20.4347409031123
19.06,1.10651056253431,17.9534894374657,20.1665105625343,19.365,0.841217495657336,18.5237825043427,20.2062174956573
19.05,1.0661334930486,17.9838665069514,20.1161334930486,19.29,0.788970848637641,18.5010291513624,20.0789708486376
18.9175,1.01922611573684,17.8982738842632,19.9367261157368,19.2325,0.795225989892181,18.4372740101078,20.0277259898922
18.8375,1.07380020255167,17.7636997974483,19.9113002025517,19.205,0.838624245416265,18.3663757545837,20.0436242454163
18.965,1.15087874035452,17.8141212596455,20.1158787403545,19.305,0.931829517669407,18.3731704823306,20.2368295176694
18.96,1.12948688571404,17.830513114286,20.089486885714,19.3575,1.02468440263332,18.3328155973667,20.3821844026333
