HER-mean,HER-se,HER-mv,HER-lower,HER-upper,HRS-mean,HRS-se,HRS-mv,HRS-lower,HRS-upper,SARSA-RS-mean,SARSA-RS-se,SARSA-RS-mv,SARSA-RS-lower,SARSA-RS-upper
0.033333334,0.009128709,0.052666668,0.043537959,0.061795377,0.040000000596047,0.007601169613927,0.052000000923872,0.044398831309945,0.059601170537799,0.040000001,0.00760117,0.054666668,0.047065498,0.062267837
0.053333335,0.014337209,0.056000001,0.041662792,0.07033721,0.046666667610407,0.012823589772114,0.053000000963608,0.040176411191495,0.065823590735722,0.046666668,0.01282359,0.055000001,0.042176411,0.067823591
0.040000001,0.011303883,0.059000001,0.047696118,0.070303884,0.050000000993411,0.006666666766008,0.059333334408312,0.052666667642304,0.06600000117432,0.053333334,0.007302968,0.058000001,0.050697033,0.065302969
0.056666668,0.011303884,0.062666668,0.051362784,0.073970552,0.050000000745058,0.006666666766008,0.064666667845953,0.058000001079946,0.071333334611961,0.060000001,0.010110501,0.064666668,0.054556167,0.074777169
0.043333335,0.012472191,0.068666668,0.056194477,0.081138859,0.050000000745058,0.010540925690967,0.071000001265822,0.060459075574855,0.081540926956788,0.050000001,0.012472191,0.069666668,0.057194476,0.082138859
0.050000002,0.013944334,0.073333335,0.059389001,0.087277669,0.046666667610407,0.010954451479594,0.080333334795624,0.06937888331603,0.091287786275218,0.050000001,0.014142136,0.076000001,0.061857865,0.090142137
0.043333334,0.008498366,0.081333335,0.072834969,0.089831701,0.046666667610407,0.007302967678253,0.093000001574438,0.085697033896185,0.100302969252691,0.053333334,0.010954451,0.086666668,0.075712217,0.097621119
0.063333334,0.014337209,0.084666668,0.070329459,0.099003877,0.056666667759419,0.007601169679273,0.105666668496519,0.098065498817246,0.113267838175792,0.070000001,0.002981424,0.096000002,0.093018578,0.098981426
0.070000002,0.019293061,0.092666668,0.073373607,0.111959729,0.073333334922791,0.0153478196456,0.120666668619918,0.105318848974319,0.136014488265518,0.053333334,0.01849925,0.108000002,0.089500752,0.126499251
0.073333334,0.013540065,0.095333335,0.08179327,0.1088734,0.060000000645717,0.016733200562344,0.136333334658878,0.119600134096533,0.153066535221222,0.070000002,0.017888544,0.123000002,0.105111458,0.140888547
0.066666667,0.005270462,0.106666668,0.101396206,0.11193713,0.050000000993411,0.010540925848039,0.157000000848944,0.146459075000905,0.167540926696982,0.043333334,0.012110602,0.141333336,0.129222734,0.153443937
0.083333335,0.009128709,0.112666668,0.103537959,0.121795377,0.110000002057442,0.01605545971511,0.17700000040424,0.16094454068913,0.19305546011935,0.076666668,0.012110602,0.160666669,0.148556067,0.172777271
0.076666669,0.013540064,0.123000002,0.109459938,0.136540066,0.103333335369825,0.01095445135868,0.192666666378628,0.181712215019948,0.203621117737308,0.120000003,0.019090429,0.171666669,0.15257624,0.190757098
