steps/FlexibleFourrooms-v0-,steps/Fourrooms-v0-
446.4914285714286,435.0714285714284
444.99142857142823,356.6428571428567
426.5057142857143,343.4685714285713
409.57428571428557,322.3714285714285
426.75142857142833,278.2428571428571
375.9085714285711,242.34285714285707
376.66857142857134,207.18571428571437
340.0171428571425,227.43714285714302
316.33714285714274,197.6742857142857
316.7028571428575,152.55714285714257
287.67999999999967,177.14571428571432
283.06285714285696,153.6057142857141
241.60000000000005,153.9657142857142
235.4942857142854,159.48571428571424
192.55714285714294,148.2514285714284
203.80285714285702,119.32285714285715
189.95999999999987,117.71999999999996
186.0714285714285,135.45714285714263
188.98857142857142,114.19142857142863
168.1628571428571,97.07714285714282
178.75428571428577,108.89999999999996
147.89142857142858,101.26857142857135
158.9342857142854,92.45714285714284
141.9942857142855,110.4942857142857
114.71714285714287,100.7857142857143
120.36857142857134,78.86857142857137
104.24,86.6571428571429
107.3714285714286,89.35428571428565
111.19714285714296,73.15999999999983
99.20571428571422,78.34285714285701
103.1028571428571,83.63142857142857
93.60857142857137,69.22285714285707
91.6171428571429,63.634285714285696
89.07999999999993,69.94285714285702
90.58571428571425,68.01714285714283
89.2085714285714,69.24285714285706
93.95714285714288,65.50857142857137
80.04857142857144,71.01428571428565
78.90285714285714,59.75142857142854
73.2657142857143,66.3514285714285
70.41428571428563,58.45714285714288
65.37714285714281,49.245714285714264
77.73714285714273,55.42857142857145
59.04571428571423,59.771428571428594
70.50285714285705,56.76571428571432
66.95142857142856,54.93714285714287
58.54857142857145,53.72857142857142
62.0085714285715,54.95142857142854
57.36,53.785714285714214
59.80285714285714,56.80285714285716
54.834285714285684,51.33142857142856
57.559999999999945,54.70571428571429
60.19428571428573,51.19428571428569
54.33142857142856,57.52571428571425
51.32285714285713,49.53999999999999
51.19142857142858,61.47428571428569
54.32857142857141,49.38285714285712
49.625714285714245,48.005714285714255
48.12285714285714,51.52285714285714
47.297142857142845,49.425714285714264
55.237142857142835,51.57142857142851
49.691428571428574,57.13142857142851
