,DYNAMIC-HUMAN,DYNAMIC-RANDOM,STATIC-HUMAN,STATIC-RANDOM,AC
917,130,250,250.0,250.0,188.0
405,153,49,64.0,27.0,32.0
896,188,110,63.0,136.0,250.0
173,148,213,139.0,250.0,250.0
627,250,134,81.0,87.0,121.0
454,79,146,154.0,107.0,71.0
780,204,23,169.0,35.0,160.0
490,63,57,250.0,83.0,250.0
375,123,33,223.0,108.0,250.0
466,167,118,84.0,94.0,97.0
416,53,250,250.0,136.0,42.0
72,25,113,183.0,98.0,148.0
630,99,222,250.0,250.0,250.0
796,244,82,250.0,250.0,148.0
61,55,177,63.0,31.0,188.0
359,133,250,136.0,250.0,119.0
621,91,86,98.0,143.0,250.0
153,250,28,141.0,250.0,250.0
908,68,250,139.0,103.0,156.0
255,115,42,250.0,33.0,160.0
43,56,76,133.0,250.0,250.0
880,126,169,171.0,43.0,250.0
68,49,53,43.0,139.0,224.0
377,50,77,250.0,217.0,16.0
281,88,17,170.0,50.0,250.0
661,250,250,131.0,166.0,250.0
179,55,103,250.0,250.0,250.0
314,100,54,103.0,250.0,250.0
824,250,80,189.0,162.0,148.0
438,40,36,250.0,183.0,121.0
407,115,235,250.0,250.0,250.0
784,45,63,250.0,250.0,250.0
806,32,250,165.0,219.0,250.0
87,186,250,250.0,250.0,79.0
920,21,154,204.0,216.0,43.0
856,245,250,72.0,48.0,8.0
364,233,77,185.0,114.0,250.0
741,250,250,232.0,44.0,154.0
979,250,250,189.0,250.0,250.0
185,54,250,36.0,250.0,197.0
784,45,63,250.0,250.0,250.0
171,94,76,203.0,52.0,58.0
291,43,97,250.0,94.0,250.0
894,239,71,45.0,250.0,250.0
876,85,95,117.0,250.0,250.0
2,153,64,35.0,181.0,121.0
190,74,24,176.0,43.0,250.0
73,88,208,82.0,42.0,250.0
176,52,126,100.0,39.0,250.0
677,120,94,250.0,164.0,250.0
281,88,17,170.0,50.0,250.0
325,139,230,250.0,124.0,250.0
646,164,27,148.0,81.0,250.0
442,159,173,159.0,164.0,250.0
585,126,250,184.0,183.0,156.0
15,121,108,228.0,250.0,50.0
423,212,97,181.0,250.0,89.0
218,179,178,127.0,250.0,250.0
667,250,63,142.0,250.0,250.0
711,69,18,90.0,16.0,42.0
401,163,250,47.0,128.0,43.0
735,250,250,26.0,250.0,227.0
63,36,95,250.0,100.0,188.0
962,32,25,250.0,87.0,250.0
511,250,250,172.0,102.0,29.0
753,131,250,117.0,55.0,250.0
422,108,35,53.0,250.0,250.0
772,214,250,51.0,81.0,250.0
677,120,94,250.0,164.0,250.0
851,121,33,125.0,250.0,104.0
10,250,191,65.0,198.0,66.0
856,245,250,72.0,48.0,8.0
491,70,105,234.0,50.0,250.0
272,179,93,145.0,194.0,188.0
202,76,126,250.0,250.0,164.0
480,250,250,53.0,44.0,250.0
667,250,63,142.0,250.0,250.0
925,250,236,250.0,149.0,174.0
868,111,250,250.0,94.0,166.0
68,49,53,43.0,139.0,224.0
391,163,250,166.0,149.0,250.0
431,250,164,146.0,89.0,143.0
117,148,145,167.0,29.0,58.0
129,250,232,180.0,121.0,250.0
404,182,156,88.0,250.0,250.0
340,110,101,211.0,104.0,66.0
102,100,73,112.0,47.0,166.0
173,148,213,139.0,250.0,250.0
15,121,108,228.0,250.0,50.0
162,164,170,250.0,250.0,250.0
21,60,250,121.0,250.0,250.0
297,250,250,54.0,71.0,98.0
768,250,77,55.0,220.0,174.0
732,129,206,121.0,201.0,123.0
829,200,35,153.0,55.0,173.0
157,121,66,74.0,90.0,160.0
128,58,47,42.0,218.0,250.0
591,43,250,141.0,250.0,58.0
594,42,202,91.0,154.0,206.0
853,84,50,250.0,63.0,124.0
