,LEARNED,STATIC,DDPG,LINRS,NRS
0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,0.699999988079071,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,0.5,1.0
4,1.0,1.0,0.8999999761581421,1.0,0.8999999761581421
