,LEARNED,STATIC,SARSA,LINRS,NRS
0,17,20,25,29,31
1,19,9,29,31,27
2,24,20,29,5,24
3,20,15,27,16,27
4,3,17,21,35,18
5,16,7,30,36,38
6,20,18,27,18,25
7,20,11,13,9,28
8,30,23,19,12,15
9,18,19,27,18,29
10,20,7,41,9,18
11,23,18,21,20,33
12,4,17,18,36,29
13,15,33,20,32,25
14,28,29,30,10,30
15,15,15,14,10,43
16,26,21,33,36,21
17,27,27,7,25,25
18,18,9,40,37,2
19,14,26,30,25,25
20,26,15,39,21,45
21,19,4,21,31,31
22,26,30,23,25,23
23,16,17,36,30,26
24,12,11,39,35,18
25,14,6,3,28,27
26,14,22,44,25,14
27,18,15,39,5,2
28,7,19,15,14,27
29,33,17,13,39,47
30,14,38,26,15,27
31,17,42,36,7,24
32,30,6,14,31,24
33,16,20,14,4,25
34,10,19,32,19,38
35,14,8,2,13,21
36,11,8,35,34,35
37,25,24,9,27,40
38,21,8,32,24,10
39,8,23,44,17,31
40,20,39,33,21,36
41,35,23,34,18,21
42,26,22,23,29,14
43,16,4,20,37,18
44,19,28,23,13,16
45,7,28,44,38,27
46,9,6,25,41,18
47,36,13,48,24,49
48,23,17,30,22,16
49,22,22,40,14,27
50,36,37,12,21,33
51,24,11,28,31,27
52,24,14,39,21,13
53,24,28,31,12,47
54,17,19,11,21,48
55,28,17,32,19,46
56,20,19,12,11,46
57,30,18,30,30,40
58,27,21,36,50,32
59,19,19,46,14,21
60,29,6,28,26,26
61,17,19,26,8,25
62,17,32,14,39,21
63,21,25,29,10,22
64,26,34,29,34,33
65,15,17,28,33,27
66,23,32,21,28,29
67,25,18,21,16,15
68,31,8,11,11,9
69,21,7,31,30,13
70,13,37,16,20,21
71,28,20,34,31,20
72,15,20,7,24,29
73,31,35,21,21,13
74,14,10,30,7,25
75,28,4,30,16,9
76,15,7,26,29,22
77,11,28,29,29,38
78,15,7,18,21,15
79,25,2,26,15,25
80,6,5,18,9,27
81,25,23,37,20,38
82,22,22,13,49,26
83,41,22,3,36,14
84,19,15,40,26,14
85,15,23,11,26,42
86,14,15,23,37,27
87,20,26,27,24,29
88,12,24,41,28,14
89,23,21,15,30,8
90,37,27,13,40,39
91,19,17,10,23,21
92,13,19,27,15,2
93,35,23,6,18,3
94,29,35,9,12,17
95,21,25,29,20,20
96,12,23,26,29,42
97,26,11,30,19,21
98,6,13,25,6,8
99,17,17,2,37,14
