,DYNAMIC,STATIC,SARSA,LINRS,NRS
0,1,1,4,5,3
1,5,2,12,1,5
2,3,4,1,4,2
3,1,4,6,7,3
4,3,5,1,5,1
5,4,4,6,1,5
6,1,3,1,3,2
7,4,1,4,1,1
8,4,2,9,4,4
9,3,1,2,2,4
10,5,1,13,1,2
11,1,1,1,1,5
12,2,1,1,1,4
13,4,4,3,1,1
14,3,1,3,1,1
15,1,1,1,1,1
16,1,1,3,1,2
17,3,3,1,6,6
18,1,3,6,2,1
19,4,11,3,6,3
20,1,2,4,5,3
21,5,3,6,1,1
22,9,2,7,3,4
23,4,1,7,4,4
24,3,1,6,4,2
25,6,2,3,2,2
26,5,1,1,1,1
27,3,2,1,2,1
28,1,5,1,2,2
29,3,3,4,1,1
30,1,1,1,11,2
31,8,5,7,4,2
32,1,4,11,3,1
33,4,6,1,1,1
34,1,2,6,3,3
35,6,1,1,4,2
36,1,5,1,4,9
37,1,5,2,6,3
38,4,2,6,2,4
39,3,6,1,1,1
40,3,1,1,2,1
41,1,2,4,2,1
42,3,6,7,4,1
43,4,4,3,2,3
44,9,1,7,3,8
45,5,2,1,4,14
46,9,2,3,1,3
47,3,8,2,4,5
48,6,1,5,7,7
49,8,2,6,2,2
50,13,5,3,2,3
51,13,4,4,1,4
52,4,5,4,2,1
53,5,1,2,4,1
54,3,3,8,1,14
55,3,3,6,1,4
56,4,4,3,4,2
57,6,3,1,6,1
58,1,1,9,9,3
59,4,9,5,6,2
60,4,2,5,1,2
61,13,6,1,8,1
62,3,3,11,4,2
63,2,1,1,1,5
64,2,1,1,11,3
65,4,3,5,3,4
66,6,1,9,4,4
67,3,1,6,3,3
68,1,3,8,3,3
69,1,5,3,4,5
70,1,4,5,6,1
71,3,5,8,3,5
72,4,4,1,6,8
73,6,2,1,5,6
74,6,2,3,2,1
75,8,10,2,3,9
76,3,1,5,5,5
77,3,3,8,1,1
78,9,4,1,8,4
79,1,5,5,2,1
80,6,3,1,6,2
81,6,1,4,6,1
82,1,9,1,1,1
83,13,7,3,1,1
84,1,3,6,1,1
85,3,1,8,1,8
86,1,6,7,4,2
87,3,2,1,3,4
88,6,2,13,4,2
89,9,1,1,1,6
90,3,3,1,1,1
91,4,2,8,1,2
92,2,2,6,1,1
93,4,2,5,3,3
94,3,3,2,8,1
95,7,2,1,2,2
96,1,2,2,5,8
97,3,2,3,6,1
98,5,1,4,1,8
99,1,6,1,2,1
