,LEARNED,STATIC,AC,LINRS,NRS
917,130,250.0,188.0,250.0,41
405,153,64.0,32.0,250.0,220
896,188,63.0,250.0,85.0,92
173,148,139.0,250.0,211.0,250
627,250,81.0,121.0,250.0,88
454,79,154.0,71.0,250.0,33
780,204,169.0,160.0,168.0,115
490,63,250.0,250.0,35.0,202
375,123,223.0,250.0,250.0,212
466,167,84.0,97.0,250.0,77
416,53,250.0,42.0,162.0,62
72,25,183.0,148.0,173.0,66
630,99,250.0,250.0,58.0,122
796,244,250.0,148.0,250.0,250
61,55,63.0,188.0,250.0,153
359,133,136.0,119.0,250.0,250
621,91,98.0,250.0,250.0,66
153,250,141.0,250.0,250.0,113
908,68,139.0,156.0,250.0,72
255,115,250.0,160.0,250.0,108
43,56,133.0,250.0,144.0,210
880,126,171.0,250.0,250.0,250
68,49,43.0,224.0,250.0,250
377,50,250.0,16.0,250.0,250
281,88,170.0,250.0,250.0,250
661,250,131.0,250.0,250.0,62
179,55,250.0,250.0,250.0,250
314,100,103.0,250.0,27.0,166
824,250,189.0,148.0,64.0,250
438,40,250.0,121.0,73.0,83
407,115,250.0,250.0,149.0,250
784,45,250.0,250.0,71.0,184
806,32,165.0,250.0,54.0,250
87,186,250.0,79.0,114.0,41
920,21,204.0,43.0,224.0,250
856,245,72.0,8.0,201.0,250
364,233,185.0,250.0,221.0,250
741,250,232.0,154.0,28.0,110
979,250,189.0,250.0,250.0,250
185,54,36.0,197.0,126.0,250
784,45,250.0,250.0,71.0,184
171,94,203.0,58.0,250.0,250
291,43,250.0,250.0,141.0,250
894,239,45.0,250.0,250.0,250
876,85,117.0,250.0,250.0,142
2,153,35.0,121.0,250.0,250
190,74,176.0,250.0,151.0,45
73,88,82.0,250.0,250.0,53
176,52,100.0,250.0,250.0,250
677,120,250.0,250.0,250.0,250
281,88,170.0,250.0,250.0,250
325,139,250.0,250.0,250.0,40
646,164,148.0,250.0,250.0,250
442,159,159.0,250.0,68.0,250
585,126,184.0,156.0,250.0,92
15,121,228.0,50.0,250.0,250
423,212,181.0,89.0,250.0,69
218,179,127.0,250.0,250.0,25
667,250,142.0,250.0,250.0,250
711,69,90.0,42.0,199.0,180
401,163,47.0,43.0,72.0,181
735,250,26.0,227.0,250.0,250
63,36,250.0,188.0,48.0,250
962,32,250.0,250.0,250.0,250
511,250,172.0,29.0,184.0,193
753,131,117.0,250.0,250.0,250
422,108,53.0,250.0,250.0,250
772,214,51.0,250.0,155.0,57
677,120,250.0,250.0,250.0,250
851,121,125.0,104.0,168.0,195
10,250,65.0,66.0,250.0,108
856,245,72.0,8.0,201.0,250
491,70,234.0,250.0,96.0,238
272,179,145.0,188.0,122.0,71
202,76,250.0,164.0,250.0,30
480,250,53.0,250.0,241.0,250
667,250,142.0,250.0,250.0,250
925,250,250.0,174.0,250.0,250
868,111,250.0,166.0,250.0,129
68,49,43.0,224.0,250.0,250
391,163,166.0,250.0,250.0,250
431,250,146.0,143.0,100.0,250
117,148,167.0,58.0,207.0,250
129,250,180.0,250.0,101.0,250
404,182,88.0,250.0,64.0,153
340,110,211.0,66.0,31.0,198
102,100,112.0,166.0,250.0,250
173,148,139.0,250.0,211.0,250
15,121,228.0,50.0,250.0,250
162,164,250.0,250.0,39.0,250
21,60,121.0,250.0,250.0,250
297,250,54.0,98.0,250.0,125
768,250,55.0,174.0,154.0,250
732,129,121.0,123.0,250.0,98
829,200,153.0,173.0,36.0,29
157,121,74.0,160.0,250.0,168
128,58,42.0,250.0,250.0,250
591,43,141.0,58.0,250.0,57
594,42,91.0,206.0,184.0,250
853,84,250.0,124.0,250.0,75
