,DYNAMIC-HUMAN,DYNAMIC-RANDOM,STATIC-HUMAN,STATIC-RANDOM,SARSA
0,43,37,20,43,25
1,38,32,39,34,49
2,38,48,20,32,41
3,31,50,27,61,46
4,55,54,30,48,69
5,38,37,60,61,41
6,34,38,24,40,66
7,20,41,52,50,73
8,32,54,37,32,31
9,30,48,25,36,52
10,39,54,38,51,66
11,31,36,36,13,65
12,44,39,36,44,18
13,53,48,59,37,67
14,42,40,50,47,32
15,22,44,27,20,39
16,38,18,21,59,62
17,39,45,27,23,60
18,38,33,56,50,75
19,29,46,29,28,77
20,58,37,58,40,49
21,38,58,52,53,46
22,26,49,64,39,48
23,38,54,25,48,63
24,30,51,52,60,39
25,45,41,16,40,60
26,31,30,34,32,84
27,18,56,47,30,39
28,37,46,29,43,20
29,57,69,68,52,73
30,36,63,57,41,50
31,46,45,42,41,63
32,30,40,27,53,66
33,38,30,25,24,39
34,26,41,47,35,74
35,14,59,32,36,38
36,40,50,41,41,63
37,47,41,24,43,83
38,41,56,32,24,74
39,46,44,39,39,72
40,36,25,59,50,57
41,41,45,47,50,79
42,28,56,61,35,39
43,38,68,16,26,45
44,20,34,29,25,48
45,45,50,49,22,84
46,43,69,46,26,48
47,47,40,36,30,79
48,33,43,30,51,72
49,38,33,31,34,75
50,42,38,45,39,53
51,35,60,52,56,39
52,43,50,25,37,49
53,44,48,33,18,52
54,22,11,47,5,53
55,58,56,23,42,74
56,45,52,42,37,53
57,34,33,34,37,58
58,29,61,59,27,40
59,44,37,39,34,59
60,54,61,20,113,73
61,42,35,36,39,56
62,17,41,63,29,66
63,26,42,27,27,41
64,26,23,35,52,41
65,45,46,25,24,73
66,33,54,43,26,46
67,42,59,23,43,46
68,53,49,27,40,53
69,33,52,20,49,49
70,34,44,57,24,47
71,45,49,20,53,56
72,43,37,20,49,60
73,31,37,45,41,65
74,39,52,40,30,77
75,47,35,52,19,36
76,42,35,33,36,47
77,50,57,33,30,29
78,15,41,30,54,18
79,30,44,19,44,47
80,36,48,26,76,18
81,25,46,52,41,70
82,49,46,38,52,13
83,41,41,42,37,60
84,40,50,30,26,75
85,42,50,27,24,53
86,36,51,27,35,39
87,35,48,59,47,66
88,48,69,47,73,66
89,29,34,32,21,20
90,49,39,40,54,13
91,41,38,29,38,64
92,26,42,19,43,46
93,42,47,23,37,59
94,42,46,37,36,83
95,40,43,41,34,41
96,24,31,27,38,26
97,28,37,18,57,32
98,21,57,32,863,25
99,43,36,23,42,38
