,DYNAMIC-HUMAN,DYNAMIC-RANDOM,STATIC-HUMAN,STATIC-RANDOM,AC
917,20,26,60.0,1.0,24.0
405,21,36,10.0,13.0,10.0
896,17,15,20.0,31.0,119.0
173,16,10,12.0,15.0,21.0
627,250,64,16.0,18.0,87.0
454,21,19,46.0,25.0,18.0
780,27,20,19.0,20.0,1.0
490,40,34,39.0,37.0,66.0
375,6,6,18.0,8.0,202.0
466,20,8,8.0,40.0,65.0
416,10,29,16.0,33.0,9.0
72,8,47,19.0,37.0,17.0
630,1,106,20.0,82.0,132.0
796,63,19,10.0,66.0,17.0
61,14,13,17.0,13.0,13.0
359,33,45,25.0,22.0,30.0
621,17,13,14.0,16.0,250.0
153,4,9,20.0,250.0,51.0
908,29,118,49.0,12.0,50.0
255,60,14,40.0,9.0,62.0
43,13,39,38.0,25.0,13.0
880,23,16,33.0,8.0,13.0
68,3,19,31.0,55.0,7.0
377,21,29,18.0,57.0,10.0
281,31,15,20.0,40.0,14.0
661,211,250,1.0,137.0,9.0
179,40,54,35.0,11.0,38.0
314,39,23,16.0,250.0,14.0
824,8,8,6.0,15.0,17.0
438,18,21,13.0,25.0,87.0
407,13,23,250.0,36.0,13.0
784,16,10,11.0,41.0,15.0
806,18,250,28.0,28.0,182.0
87,78,11,10.0,38.0,33.0
920,15,1,29.0,151.0,10.0
856,21,16,11.0,13.0,5.0
364,40,29,27.0,2.0,250.0
741,9,142,12.0,7.0,66.0
979,18,8,13.0,86.0,250.0
185,33,71,20.0,7.0,25.0
784,16,10,11.0,41.0,15.0
171,8,9,32.0,38.0,23.0
291,19,44,39.0,60.0,250.0
894,105,21,16.0,27.0,9.0
876,10,22,8.0,43.0,9.0
2,12,15,19.0,17.0,53.0
190,12,13,15.0,10.0,94.0
73,62,32,66.0,9.0,119.0
176,13,7,29.0,33.0,10.0
677,31,74,21.0,23.0,123.0
281,31,15,20.0,40.0,14.0
325,10,27,11.0,10.0,30.0
646,70,25,20.0,13.0,9.0
442,14,105,8.0,1.0,123.0
585,30,72,1.0,10.0,50.0
15,25,16,15.0,52.0,23.0
423,22,23,54.0,56.0,1.0
218,15,13,70.0,250.0,15.0
667,27,52,17.0,9.0,28.0
711,33,16,17.0,9.0,9.0
401,4,16,17.0,12.0,10.0
735,9,54,1.0,121.0,36.0
63,22,17,31.0,26.0,24.0
962,3,1,15.0,46.0,10.0
511,65,178,33.0,8.0,14.0
753,45,250,7.0,7.0,250.0
422,10,5,15.0,67.0,25.0
772,11,94,10.0,31.0,2.0
677,31,74,21.0,23.0,123.0
851,8,9,34.0,57.0,1.0
10,229,63,13.0,16.0,50.0
856,21,16,11.0,13.0,5.0
491,25,24,25.0,20.0,10.0
272,14,58,15.0,18.0,24.0
202,16,30,31.0,43.0,23.0
480,10,36,8.0,30.0,125.0
667,27,52,17.0,9.0,28.0
925,12,54,9.0,18.0,64.0
868,41,66,28.0,29.0,137.0
68,3,19,31.0,55.0,7.0
391,49,8,18.0,7.0,125.0
431,53,87,29.0,10.0,8.0
117,79,21,27.0,14.0,23.0
129,41,32,10.0,81.0,25.0
404,32,26,20.0,24.0,28.0
340,23,16,19.0,1.0,50.0
102,16,36,1.0,7.0,137.0
173,16,10,12.0,15.0,21.0
15,25,16,15.0,52.0,23.0
162,56,71,15.0,16.0,27.0
21,20,61,10.0,250.0,250.0
297,7,124,20.0,18.0,20.0
768,22,26,18.0,46.0,64.0
732,17,13,39.0,8.0,73.0
829,14,25,11.0,6.0,48.0
157,46,29,12.0,29.0,1.0
128,4,7,1.0,1.0,7.0
591,39,74,6.0,18.0,23.0
594,17,21,11.0,66.0,23.0
853,12,7,60.0,49.0,10.0
