,DYNAMIC-HUMAN,DYNAMIC-RANDOM,STATIC-HUMAN,STATIC-RANDOM,DDPG
0,505,397,251,791,612
1,316,509,196,452,653
2,571,425,175,557,606
3,308,601,197,685,670
4,411,622,363,448,734
