,DYNAMIC-HUMAN,DYNAMIC-RANDOM,STATIC-HUMAN,STATIC-RANDOM,DDPG
0,680,410,290,1142,824
1,400,667,200,703,734
2,870,517,196,675,747
3,401,894,205,805,900
4,581,726,470,673,977
