,DYNAMIC-HUMAN,DYNAMIC-RANDOM,STATIC-HUMAN,STATIC-RANDOM,DDPG
0,778,505,348,1250,1108
1,415,830,246,757,859
2,1195,586,255,754,1058
3,446,1112,233,1015,1243
4,901,997,489,725,1259
