,DYNAMIC-HUMAN,DYNAMIC-RANDOM,STATIC-HUMAN,STATIC-RANDOM,SARSA
0,1,4,1,5,4
1,5,6,2,1,12
2,3,4,4,1,1
3,1,4,4,2,6
4,3,2,5,1,1
5,4,8,4,1,6
6,1,7,3,11,1
7,4,3,1,6,4
8,4,3,2,4,9
9,3,1,1,1,2
10,5,1,1,6,13
11,1,4,1,1,1
12,2,1,1,6,1
13,4,1,4,1,3
14,3,6,1,8,3
15,1,2,1,1,1
16,1,2,1,5,3
17,3,1,3,6,1
18,1,9,3,1,6
19,4,1,11,1,3
20,1,7,2,3,4
21,5,9,3,10,6
22,9,1,2,1,7
23,4,4,1,1,7
24,3,5,1,9,6
25,6,1,2,11,3
26,5,3,1,1,1
27,3,13,2,2,1
28,1,8,5,7,1
29,3,7,3,9,4
30,1,9,1,5,1
31,8,4,5,4,7
32,1,5,4,3,11
33,4,4,6,2,1
34,1,8,2,2,6
35,6,1,1,5,1
36,1,4,5,2,1
37,1,1,5,7,2
38,4,8,2,3,6
39,3,3,6,1,1
40,3,2,1,2,1
41,1,7,2,2,4
42,3,1,6,1,7
43,4,6,4,3,3
44,9,5,1,3,7
45,5,4,2,2,1
46,9,6,2,2,3
47,3,1,8,1,2
48,6,8,1,1,5
49,8,1,2,1,6
50,13,7,5,2,3
51,13,4,4,2,4
52,4,13,5,10,4
53,5,2,1,1,2
54,3,2,3,1,8
55,3,4,3,1,6
56,4,8,4,1,3
57,6,1,3,5,1
58,1,2,1,3,9
59,4,2,9,1,5
60,4,2,2,2,5
61,13,1,6,2,1
62,3,3,3,1,11
63,2,4,1,4,1
64,2,4,1,9,1
65,4,1,3,1,5
66,6,7,1,6,9
67,3,3,1,3,6
68,1,5,3,1,8
69,1,8,5,1,3
70,1,5,4,3,5
71,3,6,5,11,8
72,4,11,4,1,1
73,6,1,2,4,1
74,6,2,2,1,3
75,8,5,10,1,2
76,3,9,1,2,5
77,3,5,3,1,8
78,9,2,4,3,1
79,1,3,5,4,5
80,6,9,3,3,1
81,6,1,1,5,4
82,1,4,9,1,1
83,13,1,7,4,3
84,1,4,3,6,6
85,3,1,1,1,8
86,1,3,6,4,7
87,3,11,2,3,1
88,6,6,2,2,13
89,9,3,1,9,1
90,3,1,3,19,1
91,4,7,2,1,8
92,2,3,2,1,6
93,4,4,2,1,5
94,3,3,3,2,2
95,7,2,2,1,1
96,1,5,2,6,2
97,3,7,2,6,3
98,5,5,1,1,4
99,1,2,6,3,1
